# Format
# Grapheme ; Code ; Equivalent Sequences ; Lowercase ; Titlecase ; Uppercase ; UTF-8 Length ; UTF-16 Length

# Latin-1
i;0069;0069,0131 0307;0069;0049;0049;1;1

# Latin-1 Supplement
À;00C0;00C0,0041 0300;00E0;00C0;00C0;2;1
Á;00C1;00C1,0041 0301;00E1;00C1;00C1;2;1
Â;00C2;00C2,0041 0302;00E2;00C2;00C2;2;1
Ã;00C3;00C3,0041 0303;00E3;00C3;00C3;2;1
Ä;00C4;00C4,0041 0308;00E4;00C4;00C4;2;1
Å;00C5;00C5,0041 030A;00E5;00C5;00C5;2;1
Ç;00C7;00C7,0043 0327;00E7;00C7;00C7;2;1
È;00C8;00C8,0045 0300;00E8;00C8;00C8;2;1
É;00C9;00C9,0045 0301;00E9;00C9;00C9;2;1
Ê;00CA;00CA,0045 0302;00EA;00CA;00CA;2;1
Ë;00CB;00CB,0045 0308;00EB;00CB;00CB;2;1
Ì;00CC;00CC,0049 0300;00EC;00CC;00CC;2;1
Í;00CD;00CD,0049 0301;00ED;00CD;00CD;2;1
Î;00CE;00CE,0049 0302;00EE;00CE;00CE;2;1
Ï;00CF;00CF,0049 0308;00EF;00CF;00CF;2;1
Ñ;00D1;00D1,004E 0303;00F1;00D1;00D1;2;1
Ò;00D2;00D2,004F 0300;00F2;00D2;00D2;2;1
Ó;00D3;00D3,004F 0301;00F3;00D3;00D3;2;1
Ô;00D4;00D4,004F 0302;00F4;00D4;00D4;2;1
Õ;00D5;00D5,004F 0303;00F5;00D5;00D5;2;1
Ö;00D6;00D6,004F 0308;00F6;00D6;00D6;2;1
Ø;00D8;00D8,004F 0338;00F8;00D8;00D8;2;1
Ù;00D9;00D9,0055 0300;00F9;00D9;00D9;2;1
Ú;00DA;00DA,0055 0301;00FA;00DA;00DA;2;1
Û;00DB;00DB,0055 0302;00FB;00DB;00DB;2;1
Ü;00DC;00DC,0055 0308;00FC;00DC;00DC;2;1
Ý;00DD;00DD,0059 0301;00FD;00DD;00DD;2;1
à;00E0;00E0,0061 0300;00E0;00C0;00C0;2;1
á;00E1;00E1,0061 0301;00E1;00C1;00C1;2;1
â;00E2;00E2,0061 0302;00E2;00C2;00C2;2;1
ã;00E3;00E3,0061 0303;00E3;00C3;00C3;2;1
ä;00E4;00E4,0061 0308;00E4;00C4;00C4;2;1
å;00E5;00E5,0061 030A;00E5;00C5;00C5;2;1
ç;00E7;00E7,0063 0327;00E7;00C7;00C7;2;1
è;00E8;00E8,0065 0300;00E8;00C8;00C8;2;1
é;00E9;00E9,0065 0301;00E9;00C9;00C9;2;1
ê;00EA;00EA,0065 0302;00EA;00CA;00CA;2;1
ë;00EB;00EB,0065 0308;00EB;00CB;00CB;2;1
ì;00EC;00EC,0069 0300;00EC;00CC;00CC;2;1
í;00ED;00ED,0069 0301;00ED;00CD;00CD;2;1
î;00EE;00EE,0069 0302;00EE;00CE;00CE;2;1
ï;00EF;00EF,0069 0308;00EF;00CF;00CF;2;1
ñ;00F1;00F1,006E 0303;00F1;00D1;00D1;2;1
ò;00F2;00F2,006F 0300;00F2;00D2;00D2;2;1
ó;00F3;00F3,006F 0301;00F3;00D3;00D3;2;1
ô;00F4;00F4,006F 0302;00F4;00D4;00D4;2;1
õ;00F5;00F5,006F 0303;00F5;00D5;00D5;2;1
ö;00F6;00F6,006F 0308;00F6;00D6;00D6;2;1
ø;00F8;00F8,006F 0338;00F8;00D8;00D8;2;1
ù;00F9;00F9,0075 0300;00F9;00D9;00D9;2;1
ú;00FA;00FA,0075 0301;00FA;00DA;00DA;2;1
